input_te,output_te,input_en,output_en
గమ్యం ఎంత దూరం లో ఉంది?,గమ్యానికి ఇంకా 30 నిమిషాలు పడుతుంది.,How far is the destination?,The destination is still 30 minutes away.
వాల్యూమ్ తగ్గించండి.,"సరే, వాల్యూమ్ తగ్గించాను.",Turn down the volume.,"Okay, I've turned down the volume."
విహారయాత్రకు వెళ్లాలని ఉంది.,"విహారయాత్రకు వెళ్లాలని ఉందా? సరే, కొన్ని ప్రదేశాలను సిఫార్సు చేయనా?",I feel like going on a road trip.,"Do you feel like going on a road trip? Okay, should I suggest some places?"
నేను ఆశ్చర్యంగా ఉన్నాను.,ఆశ్చర్యంగా ఉన్నారా! నేను మిమ్మల్ని సంతోషపరిచేలా ఏదైనా చేయగలనా?,I am surprised.,Surprised! Is there anything I can do to cheer you up?
నేను చాలా సంతోషంగా ఉన్నాను!,మీ సంతోషం నన్ను సంతోషపరుస్తుంది! మీకు నచ్చిన పాట ప్లే చేయనా?,I am so happy!,Your happiness makes me happy! Should I play your favorite song?
నాకు చాలా అలసటగా ఉంది.,అలసిపోయినట్లు ఉన్నారు. సీటు వెనక్కి వాల్చనా? రిలాక్సింగ్ మ్యూజిక్ ప్లే చేయనా?,I am very tired.,You seem tired. Should I recline the seat? Should I play some relaxing music?
చాలా వేడిగా ఉంది.,నేను AC ఆన్ చేస్తాను. మీకు కావలసిన ఉష్ణోగ్రత చెప్పండి.,It's very hot.,I will turn on the AC. Tell me your desired temperature.
నాకు కొంచెం చల్లగా ఉంది.,"సరే, నేను హీటర్ ఆన్ చేస్తాను. ఎంత వేడి కావాలో చెప్పండి.",I am a little cold.,"Okay, I will turn on the heater. Tell me how warm you want it."
సంగీతం ప్లే చేయ్.,ఏ రకమైన సంగీతం ప్లే చేయాలి? మీ ఇష్టమైన ప్లేలిస్ట్ ప్లే చేయనా?,Play music.,What kind of music should I play? Should I play your favorite playlist?
లైట్లు కొంచెం తగ్గించు.,ఖచ్చితంగా. లైట్లు తగ్గించాను. సరిపోయిందా?,Dim the lights a little.,Sure. I dimmed the lights. Is that okay?
విండోలు తెరవండి.,విండోలు తెరుస్తున్నాను. గాలి బాగానే ఉందా?,Open the windows.,Opening the windows. Is the air okay?
నాకు చాలా ఒత్తిడిగా ఉంది.,మీకు ఒత్తిడిగా ఉందని వినడానికి విచారంగా ఉంది. మీకు ప్రశాంతమైన ప్రదేశానికి వెళ్లాలని ఉందా?,I am very stressed.,I am sorry to hear you are stressed. Would you like to go to a peaceful place?
ఈ ప్రదేశానికి నావిగేషన్ సెట్ చేయ్: గచ్చిబౌలి.,గచ్చిబౌలికి నావిగేషన్ సెట్ చేశాను. మార్గం ప్రారంభించాలా?,Set navigation to this place: Gachibowli.,I have set navigation to Gachibowli. Should I start the route?
ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేయ్.,ఉష్ణోగ్రత 22 డిగ్రీలకు సెట్ చేశాను.,Set the temperature to 22 degrees.,I have set the temperature to 22 degrees.
నేను కోపంగా ఉన్నాను.,మీరు కోపంగా ఉన్నారని వినడానికి నాకు బాధగా ఉంది. మీకు ఏదైనా సహాయం చేయగలనా?,I am angry.,I am sorry to hear you are angry. Is there anything I can do to help?
విండోలు మూసివేయి.,విండోలు మూసేస్తున్నాను.,Close the windows.,Closing the windows.
నాకు బోర్ కొడుతోంది.,బోర్ కొడుతుందా? ఏదైనా ఆట ఆడదామా?,I am bored.,Bored? Shall we play a game?
AC ఆఫ్ చేయ్.,AC ఆఫ్ చేశాను.,Turn off the AC.,I have turned off the AC.
సంగీతం ఆపు.,సంగీతం ఆపాను.,Stop the music.,I have stopped the music.
నాకు భయంగా ఉంది.,మీకు భయంగా ఉందా? నేను సహాయం కోసం ఎవరికైనా కాల్ చేయనా?,I am scared.,Are you scared? Should I call someone for help?
లైట్లు వెలిగించు.,లైట్లు వెలిగిస్తున్నాను.,Turn on the lights.,Turning on the lights.
వాల్యూమ్ పెంచు.,వాల్యూమ్ పెంచుతున్నాను.,Increase the volume.,Increasing the volume.
వాల్యూమ్ తగ్గించు.,వాల్యూమ్ తగ్గిస్తున్నాను.,Decrease the volume.,Decreasing the volume.
నాకు ఆశ్చర్యంగా ఉంది.,నిజంగా? ఎందుకు ఆశ్చర్యంగా ఉంది? మీరు చెప్పాలనుకుంటే చెప్పండి.,I am surprised.,Really? Why surprised? Tell me if you want.
నాకు చాలా అలసటగా ఉంది.,మీకు అలసటగా ఉందని తెలుసుకున్నాను. సీట్ వెచ్చగా ఉండేలా చేస్తాను మరియు రిలాక్సింగ్ మ్యూజిక్ ప్లే చేస్తాను.,I am very tired.,I understand you're tired. I'll turn on the seat warmer and play some relaxing music.
నేను చాలా సంతోషంగా ఉన్నాను!,విని చాలా సంతోషంగా ఉంది! మీ కోసం ఉత్సాహంగా ఉండే పాట ప్లే చేయనా?,I am very happy!,I'm very happy to hear that! Should I play an upbeat song for you?
